,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
18082,20171023,104259,Philipp Kohlschreiber,105732,Pierre Hugues Herbert,1,178.0,34.020533880900004,1,188.0,26.6009582478,3,2.0,3.0,70.0,49.0,40.0,9.0,11.0,6.0,8.0,13.0,1.0,75.0,45.0,30.0,14.0,10.0,5.0,8.0,1
18090,20171023,104542,Jo-Wilfried Tsonga,106298,Lucas Pouille,1,188.0,32.5174537988,1,185.0,23.663244353200003,3,3.0,1.0,53.0,34.0,24.0,6.0,8.0,4.0,7.0,3.0,3.0,58.0,36.0,28.0,14.0,9.0,2.0,2.0,2
18080,20171023,104755,Richard Gasquet,106233,Dominic Thiem,1,185.0,31.3483915127,1,185.0,24.1368925394,3,4.0,2.0,102.0,66.0,52.0,17.0,15.0,4.0,5.0,6.0,4.0,104.0,65.0,47.0,14.0,14.0,2.0,5.0,1
18078,20171023,104468,Gilles Simon,105208,Ernests Gulbis,1,183.0,32.821355236100004,1,190.0,29.1471594798,3,2.0,3.0,55.0,36.0,24.0,11.0,9.0,3.0,5.0,4.0,2.0,60.0,30.0,21.0,8.0,9.0,4.0,9.0,1
18077,20171023,105575,Ricardas Berankis,106000,Damir Dzumhur,1,175.0,27.340177960300004,1,172.0,25.426420260100002,3,6.0,4.0,65.0,37.0,19.0,12.0,9.0,6.0,11.0,1.0,2.0,50.0,30.0,21.0,10.0,9.0,2.0,4.0,2
18076,20171023,105807,Pablo Carreno Busta,105550,Guido Pella,1,188.0,26.2833675565,0,185.0,27.4360027379,3,3.0,2.0,100.0,69.0,47.0,15.0,10.0,11.0,13.0,7.0,3.0,70.0,42.0,28.0,12.0,10.0,1.0,5.0,1
18075,20171023,104926,Fabio Fognini,106043,Diego Schwartzman,1,178.0,30.417522245,1,170.0,25.1854893908,3,1.0,2.0,76.0,42.0,22.0,21.0,11.0,5.0,9.0,2.0,0.0,58.0,32.0,26.0,16.0,12.0,0.0,2.0,2
18074,20171023,106071,Bernard Tomic,105732,Pierre Hugues Herbert,1,193.0,25.004791238899998,1,188.0,26.6009582478,3,5.0,6.0,86.0,45.0,32.0,20.0,12.0,6.0,9.0,13.0,2.0,74.0,44.0,36.0,15.0,12.0,3.0,5.0,2
18073,20171023,104545,John Isner,104259,Philipp Kohlschreiber,1,206.0,32.4928131417,1,178.0,34.020533880900004,3,22.0,6.0,88.0,62.0,46.0,6.0,11.0,9.0,12.0,3.0,2.0,73.0,47.0,36.0,13.0,11.0,3.0,5.0,2
18072,20171023,105077,Albert Ramos,105023,Sam Querrey,0,188.0,29.765913757699998,1,198.0,30.045174538,3,4.0,2.0,109.0,54.0,36.0,34.0,16.0,2.0,5.0,26.0,8.0,144.0,88.0,69.0,18.0,17.0,12.0,14.0,1
18079,20171023,100644,Alexander Zverev,104678,Viktor Troicki,1,198.0,20.5092402464,1,193.0,31.698836413400002,3,8.0,7.0,95.0,57.0,40.0,22.0,15.0,3.0,5.0,2.0,1.0,76.0,47.0,33.0,15.0,14.0,1.0,4.0,1
